Treatment,Survival
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,Yes
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
CC,No
