year,id,work_status,hours_worked_last_week,works_for,marital_status,siblings,children,age,age_when_firstchild_born,years_education,degree,major1,sex,race,residence_type_at16,residence_region_at16,reside_same_state_as16,living_with_parents_at16,family_income_at16,born_in_usa,number_grandparents_born_in_usa,number_in_household,number_in_household_under_six,number_in_household_6to12,number_in_household_13to17,adults,number_in_household_earning_money,total_family_income,region_of_interview,remember_voting_in_2016,Hillary_or_Trump,polviews,spending_on_space_exploration_program,spending_on_environmental_protection,spending_on_national_health,spending_on_bigcity_problems,spending_on_crime,spending_on_drug_addiction,spending_on_education,spending_on_childcare_assistance,spending_on_scientific_research,tax_amount,require_a_permit_before_gun_purchases,should_marijuana_be_legal,religious_preference,happiness,health,how_many_weeks_worked_last_year,ideal_number_children_in_family,sex_ed_in_public_schools,premarital_sex,teen_sex,sometimes_hard_spanking_child_necessary,gun_in_house,adult_hunter_in_household,how_often_read_newspaper,average_day_hours_tv,remember_voting_in_2020,Biden_or_Trump,lonely_without_internet,often_reads_political_opinions_they_disagree_with,often_accesses_nonroutine_political_news_sources,often_tries_to_confirm_info_with_other_sources,how_much_trust_people_met_online_only
2024,1,working full time,43,someone else,never married,6 or more,2,33,21,4 years of college,bachelor's,social sciences,male,black,"in a medium-size city (50,000-250,000)",northeast,different state,both own parents,far below average,yes,none,3,1,0,0,2,2,"$25,000 or more",northeast,voted,clinton,"moderate, middle of the road",about right,too little,too little,too little,too little,about right,too little,too little,about right,iap,iap,iap,protestant,not too happy,good,37,3,favor,not wrong at all,not wrong at all,agree,iap,iap,less than once a week,15,voted,biden,strongly disagree,never,never,never,no trust at all
2024,2,retired,iap,someone else,never married,no answer,0,64,iap,4 years of college,graduate,business,male,white,"in a medium-size city (50,000-250,000)",west,"same state, same city",father only,average,yes,iap,iap,iap,iap,iap,1 adult in household,1,"$25,000 or more",northeast,voted,clinton,slightly liberal,iap,iap,iap,iap,iap,iap,iap,too little,too much,iap,iap,should be legal,protestant,pretty happy,good,no answer,as many as you want,favor,not wrong at all,almost always wrong,disagree,iap,iap,less than once a week,no answer,voted,biden,iap,iap,iap,iap,iap
2024,3,retired,iap,someone else,married,1,0,69,iap,2 years of college,associate/junior college,business,female,white,in a suburb near a large city,northeast,"same state, different city",both own parents,average,yes,none,2,0,0,0,2,0,"$25,000 or more",northeast,voted,clinton,extremely liberal,too little,too little,too little,too little,about right,too little,too little,too little,about right,about right,favor,iap,none,pretty happy,good,none or zero,iap,iap,iap,iap,iap,yes,"no, neither r nor spouse hunts",iap,iap,voted,biden,iap,iap,iap,iap,iap
2024,4,working part time,20,someone else,never married,6 or more,0,19,iap,12th grade,high school,iap,male,other,"in a medium-size city (50,000-250,000)",northeast,"same state, same city",mother and stepparent,average,no,four,iap,iap,iap,iap,4,3 or more,"$25,000 or more",northeast,ineligible,iap,don't know,iap,iap,iap,iap,iap,iap,iap,too little,too much,too high,favor,iap,protestant,pretty happy,good,none or zero,2,favor,almost always wrong,always wrong,strongly agree,don't know,"no, neither r nor spouse hunts",never,2,ineligible,iap,strongly disagree,often,sometimes,often,8
2024,5,retired,iap,someone else,divorced,3,3,70,23,1 year of college,high school,iap,female,white,"in a large city (over 250,000)",northeast,"same state, same city",both own parents,average,yes,none,1,0,0,0,1 adult in household,0,"$25,000 or more",northeast,voted,trump,"moderate, middle of the road",about right,too little,too little,too little,too little,too little,too little,too little,about right,too high,favor,iap,catholic,not too happy,good,none or zero,iap,iap,iap,iap,iap,no,"no, neither r nor spouse hunts",iap,iap,voted,trump,iap,iap,iap,iap,iap
2024,6,"unemployed, laid off, looking for work",iap,self-employed,married,6 or more,2,53,28,2 years of college,associate/junior college,computer and information sciences,male,other,"in a large city (over 250,000)",foreign,different state,both own parents,far below average,no,four,iap,iap,iap,iap,2,2,"$7,000 to $7,999",northeast,ineligible,iap,skipped on web,too much,too little,too little,too little,too little,too little,too little,too little,too little,iap,iap,iap,catholic,pretty happy,good,40,2,favor,not wrong at all,skipped on web,agree,iap,iap,never,2,ineligible,iap,iap,iap,iap,iap,iap
2024,7,working full time,80,someone else,married,5,6,48,18,1 year of college,high school,iap,female,white,"in a medium-size city (50,000-250,000)",west,different state,both own parents,average,yes,none,iap,iap,iap,iap,3,3 or more,"$25,000 or more",northeast,voted,clinton,liberal,iap,iap,iap,iap,iap,iap,iap,too little,too little,iap,iap,iap,none,pretty happy,good,51,as many as you want,favor,not wrong at all,wrong only sometimes,strongly disagree,iap,iap,never,1,did not vote,iap,iap,iap,iap,iap,iap
2024,8,in school,iap,someone else,divorced,3,1,30,21,2 years of college,high school,iap,female,white,"in a small city or town (under 50,000)",northeast,"same state, different city",other,below average,yes,two,2,0,1,0,1 adult in household,1,"$8,000 to $9,999",northeast,voted,clinton,"moderate, middle of the road",don't know,too little,too little,too little,too little,too little,too little,too little,don't know,too high,oppose,should be legal,other,not too happy,good,22,iap,iap,iap,iap,iap,no,"no, neither r nor spouse hunts",iap,iap,did not vote,iap,iap,iap,iap,iap,iap
2024,9,working full time,50,someone else,married,6 or more,2,60,29,2 years of college,associate/junior college,skipped on web,female,black,"in a medium-size city (50,000-250,000)",foreign,different state,both own parents,below average,no,four,iap,iap,iap,iap,5,3 or more,"$25,000 or more",northeast,voted,clinton,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,too little,too little,too high,favor,iap,protestant,very happy,good,50,iap,iap,iap,iap,iap,no,"no, neither r nor spouse hunts",iap,iap,voted,biden,iap,iap,iap,iap,iap
2024,10,"unemployed, laid off, looking for work",iap,someone else,never married,1,0,25,iap,12th grade,high school,iap,male,black,"in a medium-size city (50,000-250,000)",northeast,"same state, same city",both own parents,average,yes,two,iap,iap,iap,iap,4,3 or more,iap,northeast,ineligible,iap,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,too much,too little,too high,favor,iap,catholic,pretty happy,good,none or zero,3,favor,wrong only sometimes,almost always wrong,agree,no,"no, neither r nor spouse hunts",never,24 hours,skipped on web,skipped on web,neither agree nor disagree,sometimes,sometimes,sometimes,3
