year,id,work_status,hours_worked_last_week,works_for,marital_status,siblings,children,age,age_when_firstchild_born,years_education,degree,major,sex,race,residence_type,family_living_location_when_sixteen,family_income_when_sixteen,born_in_US,number_grandparents_born_outside_US,total_family_income,region_of_interview,party_id,remember_voting_in_2016,Hillary_or_Trump,if_you__would_have_ voted_who_for,political_views,money_space_exploration_program,money_improve_protect_environment,money_improve_protect_health,money_helping_bigcities,money_decrease_crime,money_addressing_drug_addiction,money_improving_education,money_improving_conditions_blacks,money_national_defense,money_on_foreign_aid,money_on_welfare,should_gov_reduce_income_inequality,permit_to_buy_gun,should be legal_marijuana,attend_religious_services,happiness,personal_health,sex_education_public_schools,premarital_sex,sometimes_hard_spanking_child_necessary,gun_in_home,read_newspaper
2022,1,full time,40,NA,divorced,1,1,72,27,16,bachelors,sociology,FEMALE,WHITE,suburb near large city,middle atlantic,above average,yes,4,$90k to $110k,new england,Democrat,voted,Clinton,NA,liberal,about right,too little,too little,about right,too little,about right,too little,too little,about right,about right,about right,1,favor,NA,about once or twice a year,not too happy,good,NA,NA,NA,no,NA
2022,2,in school,NA,someone else,married,3,2,80,24,18,graduate,business administration,MALE,WHITE,suburb near large city,east north central,below average,yes,NA,NA,new england,Independent,voted,Clinton,NA,slightly conservative,too little,too little,about right,too little,too little,about right,about right,too much,about right,about right,too much,NA,oppose,NA,about once or twice a year,not too happy,good,in favor,not wrong at all,disagree,no,every day
2022,3,full time,52,someone else,divorced,1,1,57,27,12,high school,NA,FEMALE,WHITE,small city or town,new england,below average,yes,1,$40k to $50k,new england,Republican,voted,Trump,NA,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,favor,NA,never,not too happy,good,NA,NA,NA,no,NA
2022,4,on leave,NA,someone else,never married,1,0,23,NA,16,bachelors,sociology,FEMALE,WHITE,small city or town,new england,above average,yes,0,$90k to $110k,new england,Democrat,ineligible,NA,Clinton,extremely liberal,too much,too little,too little,too little,too little,too little,too little,too little,too much,about right,too little,NA,favor,NA,about once a month,not too happy,good,in favor,not wrong at all,agree,no,never
2022,5,other,NA,someone else,never married,2,2,62,21,14,high school,NA,MALE,WHITE,small city or town,new england,average,yes,2,$25k to $30k,new england,Independent,voted,Trump,NA,slightly conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,oppose,NA,about once or twice a year,pretty happy,fair,NA,NA,NA,no,NA
2022,6,full time,50,someone else,never married,1,0,27,NA,12,high school,NA,MALE,WHITE,small city or town,middle atlantic,far below average,yes,0,$50k to $60k,middle atlantic,Democrat,voted,Clinton,NA,moderate/middle of road,about right,too little,too little,about right,too little,too little,too little,too little,too much,about right,too little,1,favor,NA,never,pretty happy,excellent,NA,NA,NA,no,NA
2022,7,part time,30,someone else,never married,3,0,20,NA,12,high school,NA,FEMALE,OTHER,large city (over 250k),middle atlantic,average,yes,4,$35k to $40k,middle atlantic,Independent/Democrat,ineligible,NA,Trump,slightly liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,favor,should not be legal,less than once a year,pretty happy,good,NA,NA,NA,no,NA
2022,8,full time,40,someone else,married,3,0,47,NA,16,graduate,education,MALE,WHITE,medium-sized city (50-250k),pacific,below average,yes,4,"$170,000 or over",middle atlantic,Democrat,voted,Clinton,NA,extremely liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,favor,NA,less than once a year,pretty happy,good,NA,NA,NA,no,NA
2022,9,full time,31,someone else,never married,4,1,31,28,12,high school,NA,FEMALE,WHITE,small city or town,south atlantic,average,yes,0,$22.5k to $25k,middle atlantic,Independent/Democrat,voted,Other,NA,slightly liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,never,pretty happy,good,in favor,not wrong at all,disagree,no,less than once a week
2022,10,in school,NA,someone else,never married,6,4,72,21,12,high school,NA,FEMALE,NA,small city or town,middle atlantic,below average,yes,NA,$10k to $12.5k,middle atlantic,Democrat,voted,Other,NA,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,should be legal,every week,pretty happy,excellent,oppose,not wrong at all,agree,NA,never
