student,Tire
1,right front
2,right front
3,left front
4,right front
5,left rear
6,left front
7,right front
8,right front
9,right rear
10,right rear
11,left rear
12,right front
13,left rear
14,right front
15,left rear
16,right front
17,left front
18,left front
19,right front
20,left rear
21,right front
22,right front
23,right front
24,right front
25,left front
26,left rear
27,left front
28,right rear
29,left front
30,right rear
31,left rear
32,right front
33,left front
34,right rear
35,left front
36,left rear
37,right front
